scenario_id,hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours,arrival_work_core_hours,due_work_core_hours,cumulative_arrived_core_hours,cumulative_due_core_hours
0,371,766459.065678,766459.065678,5552070.851259,766459.065678,1121980.645735,212380389.834765,207950299.629242
0,372,327580.139718,327580.139718,4757670.345242,327580.139718,1290798.536609,212707969.974483,209241098.165851
0,373,439418.6557,439418.6557,3906290.464333,439418.6557,641162.282633,213147388.630183,209882260.448484
0,374,702161.731474,702161.731474,3967289.913174,702161.731474,441480.324237,213849550.361657,210323740.772721
0,375,572516.556229,572516.556229,4098326.145166,572516.556229,539209.787519,214422066.917886,210862950.56024
0,376,671193.070078,671193.070078,4230309.427725,671193.070078,750980.208847,215093259.987964,211613930.769087
0,377,820917.623136,820917.623136,4300246.842013,820917.623136,766459.065678,215914177.6111,212380389.834765
0,378,1002619.06717,1002619.06717,4536406.843505,1002619.06717,327580.139718,216916796.67827,212707969.974483
0,379,865399.358305,865399.358305,5074226.062092,865399.358305,439418.6557,217782196.036575,213147388.630183
0,380,932055.853106,932055.853106,5566863.259497,932055.853106,702161.731474,218714251.889681,213849550.361657
0,381,507600.707887,507600.707887,5372302.23591,507600.707887,572516.556229,219221852.597568,214422066.917886
0,382,458522.676721,458522.676721,5258308.356403,458522.676721,671193.070078,219680375.274289,215093259.987964
0,383,309869.031964,309869.031964,4896984.318289,309869.031964,820917.623136,219990244.306253,215914177.6111
0,384,379667.688792,379667.688792,4455734.383945,379667.688792,1002619.06717,220369911.995045,216916796.67827
0,385,502088.615395,502088.615395,3955203.93217,502088.615395,865399.358305,220872000.61044,217782196.036575
0,386,323461.714307,323461.714307,3413266.288172,323461.714307,932055.853106,221195462.324747,218714251.889681
0,387,481964.386615,481964.386615,2963174.821681,481964.386615,507600.707887,221677426.711362,219221852.597568
0,388,481165.571081,481165.571081,2936739.684874,481165.571081,458522.676721,222158592.282443,219680375.274289
0,389,1352148.574868,1352148.574868,3830365.583021,1352148.574868,309869.031964,223510740.857311,219990244.306253
0,390,1400727.024771,1400727.024771,4921223.575829,1400727.024771,379667.688792,224911467.882082,220369911.995045
0,391,628254.591114,628254.591114,5169810.478151,628254.591114,502088.615395,225539722.473196,220872000.61044
0,392,442492.674182,442492.674182,5110214.536938,442492.674182,323461.714307,225982215.147378,221195462.324747
0,393,585024.596379,585024.596379,5371777.419009,585024.596379,481964.386615,226567239.743757,221677426.711362
0,394,460021.39177,460021.39177,5349834.424165,460021.39177,481165.571081,227027261.135527,222158592.282443
0,395,679999.353282,679999.353282,5548668.206367,679999.353282,1352148.574868,227707260.488809,223510740.857311
0,396,470237.810792,470237.810792,4666757.442291,470237.810792,1400727.024771,228177498.299601,224911467.882082
0,397,496996.244805,496996.244805,3763026.662324,496996.244805,628254.591114,228674494.544406,225539722.473196
0,398,566637.966893,566637.966893,3701410.038103,566637.966893,442492.674182,229241132.511299,225982215.147378
0,399,719349.347805,719349.347805,3978266.711725,719349.347805,585024.596379,229960481.859104,226567239.743757
0,400,520801.098023,520801.098023,3914043.213369,520801.098023,460021.39177,230481282.957127,227027261.135527
0,401,650908.35802,650908.35802,4104930.179618,650908.35802,679999.353282,231132191.315147,227707260.488809
0,402,294116.987849,294116.987849,3719047.814185,294116.987849,470237.810792,231426308.302996,228177498.299601
0,403,350794.324312,350794.324312,3599604.327706,350794.324312,496996.244805,231777102.627308,228674494.544406
0,404,340039.223593,340039.223593,3442647.306494,340039.223593,566637.966893,232117141.850901,229241132.511299
0,405,521676.045793,521676.045793,3397685.385394,521676.045793,719349.347805,232638817.896694,229960481.859104
0,406,469890.802245,469890.802245,3148226.839834,469890.802245,520801.098023,233108708.698939,230481282.957127
0,407,221170.701835,221170.701835,2848596.443647,221170.701835,650908.35802,233329879.400774,231132191.315147
0,408,326222.077324,326222.077324,2523910.162952,326222.077324,294116.987849,233656101.478098,231426308.302996
0,409,414374.807059,414374.807059,2644167.982161,414374.807059,350794.324312,234070476.285157,231777102.627308
0,410,263708.609643,263708.609643,2557082.267492,263708.609643,340039.223593,234334184.8948,232117141.850901
0,411,416097.163595,416097.163595,2633140.207494,416097.163595,521676.045793,234750282.058395,232638817.896694
0,412,491928.688301,491928.688301,2603392.850002,491928.688301,469890.802245,235242210.746696,233108708.698939
