scenario_id,hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours,arrival_work_core_hours,due_work_core_hours,cumulative_arrived_core_hours,cumulative_due_core_hours
4,95,200175.817753,200175.817753,2578190.139216,200175.817753,589120.131046,47451146.114432,45462076.106262
4,96,543560.35841,543560.35841,2532630.36658,543560.35841,266197.593394,47994706.472842,45728273.699656
4,97,787322.137547,787322.137547,3053754.910734,787322.137547,317494.768293,48782028.610389,46045768.467949
4,98,400279.674215,400279.674215,3136539.816656,400279.674215,307760.607919,49182308.284604,46353529.075868
4,99,430417.494916,430417.494916,3259196.703653,430417.494916,472155.34518,49612725.77952,46825684.421048
4,100,442149.220031,442149.220031,3229190.578504,442149.220031,425285.875631,50054874.999551,47250970.296679
4,101,531184.218825,531184.218825,3335088.921697,531184.218825,200175.817753,50586059.218376,47451146.114432
4,102,1909366.504613,1909366.504613,5044279.608558,1909366.504613,543560.35841,52495425.722989,47994706.472842
4,103,813800.851875,813800.851875,5314520.102022,813800.851875,787322.137547,53309226.574864,48782028.610389
4,104,399936.17421,399936.17421,4927134.138685,399936.17421,400279.674215,53709162.749074,49182308.284604
4,105,487965.764995,487965.764995,5014820.229466,487965.764995,430417.494916,54197128.514069,49612725.77952
4,106,291217.305621,291217.305621,4875620.040171,291217.305621,442149.220031,54488345.81969,50054874.999551
4,107,294675.051393,294675.051393,4728145.871533,294675.051393,531184.218825,54783020.871083,50586059.218376
4,108,265494.147368,265494.147368,4462455.800076,265494.147368,1909366.504613,55048515.018451,52495425.722989
4,109,180183.754278,180183.754278,2733273.049741,180183.754278,813800.851875,55228698.772729,53309226.574864
4,110,150187.10173,150187.10173,2069659.299596,150187.10173,399936.17421,55378885.874459,53709162.749074
4,111,254094.126085,254094.126085,1923817.251471,254094.126085,487965.764995,55632980.000544,54197128.514069
4,112,210831.999955,210831.999955,1646683.48643,210831.999955,291217.305621,55843812.000499,54488345.81969
4,113,156861.023608,156861.023608,1512327.204418,156861.023608,294675.051393,56000673.024107,54783020.871083
4,114,120111.661226,120111.661226,1337763.81425,120111.661226,265494.147368,56120784.685333,55048515.018451
4,115,161693.839898,161693.839898,1233963.50678,161693.839898,180183.754278,56282478.525231,55228698.772729
4,116,156668.529425,156668.529425,1210448.281928,156668.529425,150187.10173,56439147.054656,55378885.874459
4,117,188109.855043,188109.855043,1248371.035241,188109.855043,254094.126085,56627256.909699,55632980.000544
4,118,230610.424165,230610.424165,1224887.33332,230610.424165,210831.999955,56857867.333864,55843812.000499
4,119,254399.753987,254399.753987,1268455.087352,254399.753987,156861.023608,57112267.087851,56000673.024107
4,120,343627.295332,343627.295332,1455221.359075,343627.295332,120111.661226,57455894.383183,56120784.685333
4,121,454427.274214,454427.274214,1789536.972064,454427.274214,161693.839898,57910321.657397,56282478.525231
4,122,292756.737832,292756.737832,1920599.869998,292756.737832,156668.529425,58203078.395229,56439147.054656
4,123,436213.361073,436213.361073,2200144.701645,436213.361073,188109.855043,58639291.756302,56627256.909699
4,124,435490.374025,435490.374025,2447525.220627,435490.374025,230610.424165,59074782.130327,56857867.333864
4,125,1223794.311144,1223794.311144,3440709.107606,1223794.311144,254399.753987,60298576.441471,57112267.087851
4,126,1267761.395635,1267761.395635,4454070.749254,1267761.395635,343627.295332,61566337.837106,57455894.383183
4,127,568616.799104,568616.799104,4679060.253027,568616.799104,454427.274214,62134954.63621,57910321.657397
4,128,400488.54649,400488.54649,4625121.525302,400488.54649,292756.737832,62535443.1827,58203078.395229
4,129,529490.461503,529490.461503,4861855.248973,529490.461503,436213.361073,63064933.644203,58639291.756302
4,130,416353.330334,416353.330334,4841995.218235,416353.330334,435490.374025,63481286.974537,59074782.130327
4,131,615449.630015,615449.630015,5021954.474225,615449.630015,1223794.311144,64096736.604552,60298576.441471
4,132,425599.943991,425599.943991,4223760.107073,425599.943991,1267761.395635,64522336.548543,61566337.837106
4,133,449818.302779,449818.302779,3405817.014217,449818.302779,568616.799104,64972154.851322,62134954.63621
4,134,512849.204037,512849.204037,3350049.41915,512849.204037,400488.54649,65485004.055359,62535443.1827
4,135,651064.280901,651064.280901,3600625.153561,651064.280901,529490.461503,66136068.33626,63064933.644203
4,136,471363.452836,471363.452836,3542498.144894,471363.452836,416353.330334,66607431.789096,63481286.974537
4,137,589120.131046,589120.131046,3715264.945606,589120.131046,615449.630015,67196551.920142,64096736.604552
4,138,266197.593394,266197.593394,3366012.908985,266197.593394,425599.943991,67462749.513536,64522336.548543
4,139,317494.768293,317494.768293,3257907.733286,317494.768293,449818.302779,67780244.281829,64972154.851322
4,140,307760.607919,307760.607919,3115850.038427,307760.607919,512849.204037,68088004.889748,65485004.055359
4,141,472155.34518,472155.34518,3075156.179569,472155.34518,651064.280901,68560160.234928,66136068.33626
4,142,425285.875631,425285.875631,2849377.774299,425285.875631,471363.452836,68985446.110559,66607431.789096
4,143,200175.817753,200175.817753,2578190.139216,200175.817753,589120.131046,69185621.928312,67196551.920142
4,144,368374.057267,368374.057267,2357444.065436,368374.057267,266197.593394,69553995.985579,67462749.513536
4,145,372977.855346,372977.855346,2464224.327388,372977.855346,317494.768293,69926973.840925,67780244.281829
4,146,283674.113929,283674.113929,2430403.673025,283674.113929,307760.607919,70210647.954854,68088004.889748
4,147,384896.227972,384896.227972,2507539.293078,384896.227972,472155.34518,70595544.182826,68560160.234928
4,148,429243.246239,429243.246239,2464627.194136,429243.246239,425285.875631,71024787.429065,68985446.110559
4,149,472281.477752,472281.477752,2511622.796257,472281.477752,200175.817753,71497068.906817,69185621.928312
4,150,1132878.449731,1132878.449731,3444325.428235,1132878.449731,368374.057267,72629947.356548,69553995.985579
4,151,665272.029912,665272.029912,3741223.40088,665272.029912,372977.855346,73295219.38646,69926973.840925
4,152,439568.897762,439568.897762,3807814.443296,439568.897762,283674.113929,73734788.284222,70210647.954854
4,153,675611.205899,675611.205899,4199751.535266,675611.205899,384896.227972,74410399.490121,70595544.182826
4,154,553957.073173,553957.073173,4368812.380467,553957.073173,429243.246239,74964356.563294,71024787.429065
4,155,577663.397648,577663.397648,4517232.531876,577663.397648,472281.477752,75542019.960942,71497068.906817
4,156,1001526.163917,1001526.163917,5046477.218041,1001526.163917,1132878.449731,76543546.124859,72629947.356548
4,157,757473.758823,757473.758823,4671072.527133,757473.758823,665272.029912,77301019.883682,73295219.38646
4,158,724181.312588,724181.312588,4729981.809809,724181.312588,439568.897762,78025201.19627,73734788.284222
4,159,737830.980958,737830.980958,5028243.893006,737830.980958,675611.205899,78763032.177228,74410399.490121
4,160,413941.27958,413941.27958,4766573.966688,413941.27958,553957.073173,79176973.456808,74964356.563294
4,161,410336.466734,410336.466734,4622953.360249,410336.466734,577663.397648,79587309.923542,75542019.960942
4,162,488591.081148,488591.081148,4533881.043749,488591.081148,1001526.163917,80075901.00469,76543546.124859
4,163,234915.48971,234915.48971,3767270.369543,234915.48971,757473.758823,80310816.4944,77301019.883682
4,164,308780.461287,308780.461287,3318577.072007,308780.461287,724181.312588,80619596.955687,78025201.19627
4,165,525372.325301,525372.325301,3119768.08472,525372.325301,737830.980958,81144969.280988,78763032.177228
4,166,449086.388246,449086.388246,2831023.492008,449086.388246,413941.27958,81594055.669234,79176973.456808
4,167,323708.169033,323708.169033,2740790.381461,323708.169033,410336.466734,81917763.838267,79587309.923542
4,168,377284.710664,377284.710664,2707738.625391,377284.710664,488591.081148,82295048.548931,80075901.00469
4,169,579826.99191,579826.99191,2798974.536153,579826.99191,234915.48971,82874875.540841,80310816.4944
4,170,354988.527344,354988.527344,2919047.573786,354988.527344,308780.461287,83229864.068185,80619596.955687
4,171,535986.106798,535986.106798,3146253.219297,535986.106798,525372.325301,83765850.174983,81144969.280988
4,172,559438.309877,559438.309877,3180319.203873,559438.309877,449086.388246,84325288.48486,81594055.669234
4,173,1640600.41744,1640600.41744,4371833.233066,1640600.41744,323708.169033,85965888.9023,81917763.838267
4,174,1327589.225119,1327589.225119,5375714.289152,1327589.225119,377284.710664,87293478.127419,82295048.548931
