directory,grid_limit_fraction_of_peak,ramp_limit_fraction_of_peak,configuration,method,window,status,replay_count,nominal_operating_cost_usd,mean_actual_operating_cost_usd,mean_batch_adjustment_mwh,mean_actual_curtailment_mwh,workload_violation_rate,workload_max_violation_mwh,grid_violation_rate,grid_max_violation_mw,ramp_violation_rate,ramp_max_violation_mw,physical_union_violation_rate,physical_union_max_violation_mw,solve_wall_time_seconds
grid_0p85_ramp_0p075_seed_20270117_saa_gamma_four_windows,0.85,0.075,gamma_ro_gamma_0p5,gamma_ro,2025-10-01,complete,100,16841.57021772546,16911.825858044536,54.874615335914896,0.02135468308061974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.063621900000726
grid_0p85_ramp_0p075_seed_20270117_saa_gamma_four_windows,0.85,0.075,saa_n20,saa,2025-01-01,complete,100,15839.153552509486,15847.816319268097,50.10863917483139,0.06359755436069525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.74100849999377
grid_0p85_ramp_0p075_seed_20270117_saa_gamma_four_windows,0.85,0.075,saa_n20,saa,2025-04-01,complete,100,15960.903942757017,16169.307963983441,53.79105816329999,0.056093011326034496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.19031660000473
grid_0p85_ramp_0p075_seed_20270117_saa_gamma_four_windows,0.85,0.075,saa_n20,saa,2025-07-01,complete,100,16160.731911542603,16369.09194582777,58.64143995450769,0.06730978109913162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.9119337000011
grid_0p85_ramp_0p075_seed_20270117_saa_gamma_four_windows,0.85,0.075,saa_n20,saa,2025-10-01,complete,100,16841.57021772546,16909.610554413583,54.11837541837304,0.17063745183971576,0.0,0.0,0.09,0.1312974948640846,0.0,0.0,0.09,0.1312974948640846,78.18598400000337
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,15845.188681140042,49.979723780289895,0.05551108377782495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3420148999866797
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16192.184398956606,53.31759223845558,0.07489428868690591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9823093000013614
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,16428.490395707802,59.065727815813595,0.30003586849948105,0.0,0.0,0.07,0.5874573799897049,0.02,1.3126571839302257,0.08,1.3126571839302257,1.9701789999962784
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.570217725457,16952.676100511173,55.65237776640576,0.14681270248432354,0.0,0.0,0.06,0.0973380342241632,0.01,1.1360979635287405,0.07,1.1360979635287405,2.246190999998362
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-01-01,complete,100,15839.153552509488,15846.739860633945,50.051937384575865,0.06584392258772867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.50588660000358
