method,held_out_fold,validation_window_id,rho,beta,support_size,allowed_training_violation_count,feasible,solver_status,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
finite_support_TV_DRO,fold_1,10,0.01,0.1,20,1,True,optimal_decomposed,66.51778190000914,0.0,1,2,11446.346246763771,11872.160771301718,180968.08457118136,1.9049627867922965,34.152747314647215,29.085878447591607,1.4210854715202004e-13,0.0,8.326672684688674e-16,False,False,False
finite_support_TV_DRO,fold_1,11,0.01,0.1,20,1,True,optimal_decomposed,70.16846849996364,0.0,1,2,12663.168737043761,13427.475856118292,181225.7637367733,0.22992721054971765,33.71068854389786,46.68008721711405,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_2,0,0.01,0.1,20,1,True,optimal_decomposed,71.71200900000986,0.0,1,2,16806.465768038444,20723.68106102403,183416.0116993815,0.43173621183444,36.88874538368465,38.78147394947314,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_2,1,0.01,0.1,20,1,True,optimal_decomposed,70.1451865999843,0.0,1,2,13442.291128147315,14962.695732430973,177657.59035700985,1.379782545266805,34.41319737783002,33.567440407074464,1.9895196601282805e-13,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_2,2,0.01,0.1,20,1,True,optimal_decomposed,70.4281019999762,0.0,1,2,12889.65214821595,15322.767346397499,172674.96760954932,1.3623438311252312,35.75988869360101,37.77061707017304,8.526512829121202e-14,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_2,3,0.01,0.1,20,1,True,optimal_decomposed,70.97974300000351,0.0,1,2,13735.598382579225,18831.097803452216,169468.50532457867,0.9017999875699347,36.375224074498036,32.088264367983925,2.842170943040401e-14,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_2,4,0.01,0.1,20,1,True,optimal_decomposed,69.7992087000166,0.0,1,2,13274.980933198725,16461.10248059816,172052.43089383392,1.8410037007881104,34.17149555310276,38.55922990603825,1.1368683772161603e-13,0.0,5.551115123125783e-16,False,False,False
finite_support_TV_DRO,fold_2,5,0.01,0.1,20,1,True,optimal_decomposed,69.86986530001741,0.0,1,2,14695.546779243543,18815.426620763792,172705.91411757565,0.2151504135703594,35.00777519722753,31.4088839504885,1.1368683772161603e-13,0.0,6.106226635438361e-16,False,False,False
finite_support_TV_DRO,fold_2,6,0.01,0.1,20,1,True,optimal_decomposed,70.33773010002915,0.0,1,2,12672.136050685414,14006.84214219225,169004.30778652124,0.8336119459857514,34.281961022441536,29.74798478840833,4.263256414560601e-14,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_2,7,0.01,0.1,20,1,True,optimal_decomposed,72.31677359994501,0.0,1,2,12408.379562618758,13132.35753070606,177779.98645777104,0.6422960412975028,36.647916742379365,41.17232262400227,1.4210854715202004e-13,0.0,8.881784197001252e-16,False,False,False
