method,held_out_fold,validation_window_id,gamma,effective_gamma,gamma_saturated,sample_size,energy_quantile,feasible,solver_status,solver_runtime_seconds,mip_gap,max_robust_constraint_violation_mw,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
static_Gamma_RO,fold_1,9,0.75,0.75,False,20,0.9,True,optimal,15.799000024795532,0.0,3.885780586188048e-16,11509.574956834489,11546.536770702825,172467.325742724,0.5370918895920613,149.9263422030261,40.87973911027784,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,10,0.75,0.75,False,20,0.9,True,optimal,16.936000108718872,0.0,2.7755575615628914e-16,11446.346246763755,11874.545253499875,180902.9979541095,1.883034092294226,150.250169593611,28.81942851120588,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,11,0.75,0.75,False,20,0.9,True,optimal,16.621000051498413,0.0,2.7755575615628914e-16,12663.168737043767,13526.448630683968,181053.5999041242,0.22992721054911902,150.0454542241406,46.62627873559628,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_2,0,0.75,0.75,False,20,0.9,True,optimal,19.494999885559082,0.0,2.7755575615628914e-16,16806.465768038463,21038.803000621116,183486.32034861328,0.36494932287514714,151.22357127279435,38.506988351062496,8.526512829121202e-14,0.0,8.326672684688674e-16,False,False,False
static_Gamma_RO,fold_2,1,0.75,0.75,False,20,0.9,True,optimal,20.85599994659424,0.0,2.7755575615628914e-16,13442.29112814728,14957.180001985973,177628.057545067,1.3014985271196977,149.46266668892633,33.43555438413443,5.684341886080802e-14,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_2,2,0.75,0.75,False,20,0.9,True,optimal,18.39800000190735,0.0,3.2751579226442118e-15,12889.652148215933,15306.069956577794,172711.0049693687,0.9435982302399718,151.27756279137805,37.79676829349778,2.8421709430404007e-13,0.0,7.771561172376096e-16,False,False,False
static_Gamma_RO,fold_2,3,0.75,0.75,False,20,0.9,True,optimal,22.296000003814697,0.0,2.7755575615628914e-16,13735.598382579226,18823.472225997983,169450.26199801126,0.8566559038912429,150.58522509586544,32.58545173587669,5.684341886080802e-14,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_2,4,0.75,0.75,False,20,0.9,True,optimal,22.56500005722046,0.0,2.7755575615628914e-16,13274.980933198707,16346.572468787588,172010.47401206827,1.8041059832492858,148.1839606524357,38.62431740725447,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_2,5,0.75,0.75,False,20,0.9,True,optimal,24.70800018310547,0.0,3.0531133177191805e-16,14695.546779243507,18697.590255258154,172695.39937742174,0.20482454630570854,149.2100748067773,31.633828883665092,1.1368683772161603e-13,0.0,8.326672684688674e-16,False,False,False
static_Gamma_RO,fold_2,6,0.75,0.75,False,20,0.9,True,optimal,17.478000164031982,0.0,2.7755575615628914e-16,12672.136050685409,13988.523675436152,168971.14036303587,0.7969013249787811,149.36728588429764,29.684414957460188,7.105427357601002e-14,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_2,7,0.75,0.75,False,20,0.9,True,optimal,15.672999858856201,0.0,2.498001805406602e-16,12408.379562618766,13195.729147886077,177904.06822389056,0.6216066070463118,152.61613695200228,41.11799679947158,1.4210854715202004e-13,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_2,8,0.75,0.75,False,20,0.9,True,optimal,23.08300018310547,0.0,2.7755575615628914e-16,13014.263506879324,14294.180980168308,168409.80832314896,1.5968931570291147,149.76583860776697,37.28958088090207,1.7053025658242404e-13,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_2,9,0.75,0.75,False,20,0.9,True,optimal,21.874000072479248,0.0,2.7755575615628914e-16,14407.423959862484,16883.86315618556,173363.6616192869,0.8862436911753382,152.49249839636371,30.50798982922934,9.947598300641403e-14,0.0,8.326672684688674e-16,False,False,False
static_Gamma_RO,fold_2,10,0.75,0.75,False,20,0.9,True,optimal,22.30999994277954,0.0,3.3306690738754696e-16,13222.277707798825,14341.331052745838,168196.23472835825,1.497004822990055,150.03837742474641,30.96937349653085,1.1368683772161603e-13,0.0,9.992007221626409e-16,False,False,False
static_Gamma_RO,fold_2,11,0.75,0.75,False,20,0.9,True,optimal,20.32200002670288,0.0,3.0531133177191805e-16,12091.769165848767,13288.93133141582,182679.53939193138,0.7188809665087372,153.0318898149789,39.63710764905084,1.7053025658242404e-13,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_3,0,0.75,0.75,False,20,0.9,True,optimal,21.933000087738037,0.0,2.7755575615628914e-16,12608.317556519285,13979.009857849094,188125.87108151903,1.0491035886434381,151.744998267234,40.03531828349315,1.7053025658242404e-13,0.0,4.440892098500626e-16,False,False,False
