method,window,workload_replay_id,solver_status,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
deterministic,2025-01-01,50,optimal,15749.16974500065,16620.06456855121,204229.83454808008,0.6080907275472544,42.74432374273304,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,51,optimal,15749.16974500065,16543.057179190135,204316.2543646158,0.23933719078285343,38.07502639456434,1.7053025658242404e-13,0.0,6.106226635438361e-16,False,False,False
deterministic,2025-01-01,52,optimal,15749.16974500065,16720.926697714203,204858.77675175093,1.1148482336422147,44.922982106544005,1.9895196601282805e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,53,optimal,15749.16974500065,16464.698802294923,203859.06506766978,0.5152378640666385,32.75175399461357,3.126388037344441e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,54,optimal,15749.16974500065,16487.536046248395,203501.98078781998,0.4991168842027558,35.94689615779172,3.126388037344441e-13,0.0,5.551115123125783e-16,False,False,False
deterministic,2025-01-01,55,optimal,15749.16974500065,16581.347212503446,204037.288800376,0.32586710176964007,41.401061025254215,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,56,optimal,15749.16974500065,16655.253689326815,204221.39418232293,1.2584030017575147,25.929393033709058,1.9895196601282805e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,57,optimal,15749.16974500065,16570.933138692948,204146.8108820124,0.6895299563068646,39.016199667348644,1.1368683772161603e-13,0.0,5.551115123125783e-16,False,False,False
deterministic,2025-01-01,58,optimal,15749.16974500065,16495.87364374387,204407.8752061171,0.1912841330030578,44.06236982610532,3.126388037344441e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,59,optimal,15749.16974500065,16635.077635369733,204392.2728503204,0.25755734224282,39.32827732519021,2.8421709430404007e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,60,optimal,15749.16974500065,16573.63160773281,203963.99917344342,0.23203931010695744,37.784418262661255,2.5579538487363607e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,61,optimal,15749.16974500065,16533.802256733543,203662.59867745588,1.2750350399728851,28.24776324503157,2.8421709430404007e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,62,optimal,15749.16974500065,16518.265320556617,203740.01562502832,0.3191540010564301,42.48373594125965,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,63,optimal,15749.16974500065,16492.389332144186,203504.70758573196,0.2100295933304738,42.34085639492526,1.9895196601282805e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,64,optimal,15749.16974500065,16665.11659717057,204300.197533671,2.0080658798939375,35.12348460646656,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,65,optimal,15749.16974500065,16503.615569741956,203838.25293498035,0.5934134355296422,42.91410889919105,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,66,optimal,15749.16974500065,16670.169007222285,204296.31912831878,0.0493515902838953,47.12633758277974,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,67,optimal,15749.16974500065,16575.919605088755,204027.03083333495,0.4398669175725516,39.65626910890807,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,68,optimal,15749.16974500065,16666.800176039902,204961.406409381,1.7043237329629544,41.08498728159766,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,69,optimal,15749.16974500065,16562.397380942202,204100.88912794707,0.402806321108359,40.792309605865306,2.5579538487363607e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,70,optimal,15749.16974500065,16617.081538837978,203901.62187489658,0.6526187286972026,42.92667390793443,8.526512829121202e-14,0.0,1.1102230246251565e-16,False,False,False
deterministic,2025-01-01,71,optimal,15749.16974500065,16545.49132773149,204535.37858982076,0.3906142316371389,44.62715461979183,2.5579538487363607e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,72,optimal,15749.16974500065,16621.265516003572,204455.72915428752,0.5191339031836534,43.39663908876086,1.9895196601282805e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,73,optimal,15749.16974500065,16573.13387235221,203971.49061569897,0.32368311558152013,36.47343732555818,2.2737367544323206e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,74,optimal,15749.16974500065,16548.057148891116,204013.7662963199,0.29080621138391044,41.03917687575898,2.5579538487363607e-13,0.0,5.551115123125783e-16,False,False,False
deterministic,2025-01-01,75,optimal,15749.16974500065,16537.840907590282,204377.37505822495,0.3048678358317097,37.06553912854352,1.7053025658242404e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,76,optimal,15749.16974500065,16539.516106456234,203660.7893916895,0.3930314153079202,40.23997270151325,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,77,optimal,15749.16974500065,16514.597977301717,203983.13392488554,0.24828249611934175,32.6897939286263,1.1368683772161603e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,78,optimal,15749.16974500065,16490.395601924592,203653.6269387472,0.8933343800266397,37.81818232117321,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,79,optimal,15749.16974500065,16584.662541061738,204213.06992291703,0.5527291189473205,36.14710889391362,2.5579538487363607e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,80,optimal,15749.16974500065,16658.514972740377,204423.06509856816,0.3958375756727013,35.184357845115706,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,81,optimal,15749.16974500065,16776.19968902465,204723.5941907315,0.016998298410294765,48.16386524881489,2.2737367544323206e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,82,optimal,15749.16974500065,16519.26742154386,203739.66512182762,0.961339689611335,27.648018852238252,2.8421709430404007e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,83,optimal,15749.16974500065,16563.69674670963,203685.66222383056,1.1443433060286001,31.231172020127364,1.1368683772161603e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,84,optimal,15749.16974500065,16439.701569047036,203955.2133535162,1.0530235647744255,29.893661591770734,2.8421709430404007e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,85,optimal,15749.16974500065,16524.58853177608,203624.23235485394,0.45783474049372,42.706614091728966,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,86,optimal,15749.16974500065,16549.67853736238,204256.46805487282,0.8433614801003747,33.28939278033292,1.1368683772161603e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,87,optimal,15749.16974500065,16583.9557151401,204126.94654162313,0.6281188426683618,35.278223234623695,1.9895196601282805e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,88,optimal,15749.16974500065,16642.36811647593,204853.98523376806,0.4715934381079233,43.762320532397965,2.8421709430404007e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,89,optimal,15749.16974500065,16655.284616258577,204043.93075616885,0.9793452246715559,37.78711874439334,2.8421709430404007e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,90,optimal,15749.16974500065,16563.00343850314,204134.1408317501,0.4264813512995001,41.87887806052622,1.9895196601282805e-13,0.0,3.3306690738754696e-16,False,False,False
