delivery_date,cv_fold,hour_index,forecast_cutoff_utc,interval_end_utc,forecast_method,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh,residual_erco_solar_generation_mwh,residual_erco_wind_generation_mwh,residual_erco_consumed_co2_intensity_lbs_per_kwh,complete_row,usable_24h_block
2024-09-11,fold_3,6,2024-09-10T23:00:00Z,2024-09-11T12:00:00Z,direct_ridge_90d_v1,1.0,6974.0,0.9112980860800103,0.0,9732.716240573127,0.8511042122082905,1.0,-2758.716240573127,0.060193873871719816,True,True
2024-09-11,fold_3,7,2024-09-10T23:00:00Z,2024-09-11T13:00:00Z,direct_ridge_90d_v1,331.0,5900.0,0.9482877126440236,589.1370052431896,8927.373425255457,0.8518711946356646,-258.1370052431896,-3027.373425255457,0.09641651800835893,True,True
2024-09-11,fold_3,8,2024-09-10T23:00:00Z,2024-09-11T14:00:00Z,direct_ridge_90d_v1,5476.0,4677.0,0.8542501010887442,8063.322259991881,7379.09193648603,0.7676817056012144,-2587.322259991881,-2702.09193648603,0.08656839548752981,True,True
2024-09-11,fold_3,9,2024-09-10T23:00:00Z,2024-09-11T15:00:00Z,direct_ridge_90d_v1,11163.0,2719.0,0.7805823073733903,14483.274412656645,6932.360419277853,0.70576350355108,-3320.274412656645,-4213.360419277853,0.07481880382231032,True,True
2024-09-11,fold_3,10,2024-09-10T23:00:00Z,2024-09-11T16:00:00Z,direct_ridge_90d_v1,13416.0,2619.0,0.7544742949038828,16326.939353513731,6714.349009127732,0.6929758135536193,-2910.9393535137315,-4095.3490091277317,0.06149848135026359,True,True
2024-09-11,fold_3,11,2024-09-10T23:00:00Z,2024-09-11T17:00:00Z,direct_ridge_90d_v1,14614.0,2277.0,0.7463898267615804,17390.265137139897,6106.225663143892,0.699904858026891,-2776.265137139897,-3829.2256631438922,0.046484968734689436,True,True
2024-09-11,fold_3,12,2024-09-10T23:00:00Z,2024-09-11T18:00:00Z,direct_ridge_90d_v1,15208.0,1801.0,0.7641535850333521,17805.784708087802,5902.431356607705,0.7114974215353458,-2597.784708087802,-4101.431356607705,0.05265616349800628,True,True
2024-09-11,fold_3,13,2024-09-10T23:00:00Z,2024-09-11T19:00:00Z,direct_ridge_90d_v1,15943.0,1862.0,0.7662665891018892,17936.058851646714,6161.7193712918815,0.7117584940040649,-1993.0588516467142,-4299.7193712918815,0.05450809509782428,True,True
2024-09-11,fold_3,14,2024-09-10T23:00:00Z,2024-09-11T20:00:00Z,direct_ridge_90d_v1,16277.0,2178.0,0.7602966279261796,17592.696137310704,6760.964603865459,0.713963785119936,-1315.6961373107042,-4582.964603865459,0.04633284280624361,True,True
2024-09-11,fold_3,15,2024-09-10T23:00:00Z,2024-09-11T21:00:00Z,direct_ridge_90d_v1,16070.0,2462.0,0.7633003307771018,17120.23803239565,7326.02658770047,0.7195646122790437,-1050.2380323956495,-4864.02658770047,0.04373571849805813,True,True
